,user_location,Unnamed: 0
29,"Mumbai, India",13
20,India,10
32,"New Delhi, India",6
18,"Hyderabad, India",5
14,"Gujarat, India",2
34,Prayagraj,2
30,Navi Mumbai,2
28,Mumbai,2
1,"Ajmer, India",2
38,"Thane, India",2
42,bangalore,2
44,jaipur,2
51,"भुवनेश्वर, भारत",2
11,Delhi,2
2,Bangalore,2
10,Dehradun,2
9,"Dapodi, Haveli",2
8,"Chennai, India",2
4,Bhatpar Rani,2
45,mumbai,1
36,"Sasaram, India",1
50,झोपड़पट्टी में,1
49,"ग्वालियर, भारत",1
35,"Pune, India",1
48,"गया, भारत",1
47,"कोलकाता, भारत",1
37,"Tamil Nadu, India",1
46,muzaffarpur,1
39,"Uttar Pradesh, India",1
40,"Vijayawada, India",1
41,Visakhapatnam,1
33,"Pine Island, TX",1
43,"faridabad, haryana",1
0,", Mumbai",1
31,Ndls,1
27,"Lucknow, India",1
3,Bengaluru,1
5,Bhubaneswar,1
6,"Bikaner, India",1
7,"Bodhgaya, India",1
12,"Ghaziabad, India",1
13,"Ghazipur, India",1
15,"Gulbarga, India",1
16,"Gurgaon, India",1
17,Hyderabad,1
19,In b/w Mars and Venus.,1
21,"Indore, India",1
22,Jaipur,1
23,"Jaipur, India",1
24,"Jodhpur, India",1
25,"Karimnagar, India",1
26,"Kolkata, India",1
